Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1719764463.66,   -100.00,      0.00,     88.00,     53.00,    213.00,    232.00,     53.00
1719764463.68,   -100.00,      0.00,     73.00,     67.00,    213.00,    277.00,     53.00
1719764463.71,    -95.00,      0.00,    284.00,     82.00,    213.00,    231.00,     53.00
1719764463.74,    -66.00,      0.00,   2000.00,     85.00,    213.00,    232.00,     53.00
1719764463.77,    -20.00,      0.00,     94.00,    108.00,    213.00,    231.00,     53.00
1719764463.80,     -1.00,      0.00,   1226.00,    514.00,    213.00,    231.00,     53.00
1719764463.83,     -1.00,      0.00,   1196.00,    514.00,    213.00,    231.00,     53.00
1719764463.86,     28.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
1719764463.89,     78.00,      0.00,    737.00,    514.00,    212.00,    231.00,     53.00
1719764463.92,    100.00,      0.00,    755.00,    514.00,    213.00,    231.00,     53.00
1719764463.95,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764463.99,    100.00,      0.00,   1205.00,    514.00,    213.00,    232.00,     53.00
1719764464.02,    100.00,      0.00,   1196.00,    514.00,    213.00,    231.00,     53.00
1719764464.05,    100.00,      0.00,   1188.00,    514.00,    213.00,    231.00,     53.00
1719764464.08,    100.00,      0.00,   1193.00,    514.00,    213.00,    232.00,     53.00
1719764464.11,    100.00,      0.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764464.14,    100.00,      0.00,    725.00,    514.00,    213.00,    232.00,     53.00
1719764464.18,    100.00,      0.00,   1188.00,    514.00,    213.00,    231.00,     53.00
1719764464.21,    100.00,      0.00,   1188.00,    514.00,    213.00,    222.00,     53.00
1719764464.24,    100.00,      0.00,   1193.00,    514.00,    213.00,    232.00,     53.00
1719764464.27,    100.00,      0.00,   1201.00,    514.00,    213.00,    233.00,     53.00
1719764464.30,    100.00,      0.00,    725.00,    514.00,    213.00,    231.00,     53.00
1719764464.33,    100.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
1719764464.37,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.40,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.43,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.46,    100.00,      0.00,   1201.00,    514.00,    213.00,    232.00,     53.00
1719764464.50,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.53,    100.00,      0.00,    720.00,    514.00,    213.00,    269.00,     53.00
1719764464.56,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.59,    100.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
1719764464.62,    100.00,      0.00,   1196.00,    514.00,    213.00,    231.00,     53.00
1719764464.65,    100.00,      0.00,   1193.00,    514.00,    213.00,    231.00,     53.00
1719764464.68,    100.00,      0.00,    749.00,    514.00,    213.00,    231.00,     53.00
1719764464.72,    100.00,      0.00,   1193.00,    514.00,    213.00,    232.00,     53.00
1719764464.75,    100.00,      0.00,   1200.00,    514.00,    213.00,    231.00,     53.00
1719764464.78,    100.00,      0.00,    733.00,    514.00,    213.00,    231.00,     53.00
1719764464.81,    100.00,      0.00,    712.00,    514.00,    213.00,    231.00,     53.00
1719764464.84,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.87,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.90,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     52.00
1719764464.94,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764464.97,    100.00,      0.00,   1192.00,    514.00,    213.00,    231.00,     53.00
1719764465.00,    100.00,      0.00,    750.00,    514.00,    213.00,    231.00,     53.00
1719764465.03,    100.00,      0.00,    754.00,    514.00,    213.00,    231.00,     53.00
1719764465.06,    100.00,      0.00,    721.00,    514.00,    213.00,    231.00,     53.00
1719764465.09,    100.00,      0.00,   1196.00,    514.00,    212.00,    231.00,     53.00
1719764465.12,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.15,    100.00,      0.00,   1201.00,    514.00,    213.00,    232.00,     53.00
1719764465.19,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.22,    100.00,      0.00,   1201.00,    514.00,    213.00,    232.00,     53.00
1719764465.26,    100.00,      0.00,   1200.00,    514.00,    213.00,    231.00,     53.00
1719764465.29,    100.00,      0.00,   1201.00,    514.00,    213.00,    232.00,     53.00
1719764465.32,    100.00,      0.00,   1201.00,    514.00,    213.00,    231.00,     53.00
1719764465.35,    100.00,      0.00,   1205.00,    514.00,    213.00,    231.00,     53.00
